ID;Router;Method;Path;Trạng thái;Lý do;UI / Page
api1;Auth;POST/DELETE;/api/auth/session;Đã kết nối (live);Firebase Admin verifyIdToken + cookie;LoginPanel / logout
api2;Auth;GET;/api/auth/me;Đã kết nối (live);Cookie session;AuthContext, header
api3;Dashboard;GET;/api/portfolio/metrics;Đã kết nối (seed);Seed deps trong adapter;CommandCenterPanel
api4;Dashboard;GET;/api/marketplace/profile;Đã kết nối (seed);Seed;CommandCenterPanel
api5;Projects;GET;/api/projects;Đã kết nối (seed);"Seed listProjects; CRUD/phases/docs chưa nối";ProjectsListPanel
api6;Projects;GET;/api/projects/[id];Đã kết nối (seed);Seed getProject;ProjectWorkspaceProvider
api7;Projects;GET;/api/projects/[id]/kpis/current;Đã kết nối (seed);Seed / fixture;Insights / Scorecard
api8;Insights;GET;/api/insights;Đã kết nối (seed);Seed userId=dev-user-1;PortfolioInsightsPanel
api9;Reports;GET;/api/reports/portfolio;Đã kết nối (partial);Handler data mỏng;PortfolioReportsPanel
api10;Reports;POST;/api/reports/generate;Đã kết nối (partial);Handler;PortfolioReportsPanel
api11;Reports;GET;/api/reports/[period];Đã kết nối (partial);Handler;ProjectReportsPanel
api12;Marketplace;GET;/api/marketplace/listings;Đã kết nối (seed);Seed;VendorMarketplacePanel
api13;Marketplace;GET;/api/marketplace/investors;Đã kết nối (seed);Seed;VendorMarketplacePanel
api14;Marketplace;GET;/api/marketplace/investors/[id];Đã kết nối (seed);Seed;InvestorProfilePanel
api15;Marketplace;POST;/api/marketplace/investors/follow;Đã kết nối (seed);Seed / in-memory;Follow buttons
api16;Deals;GET;/api/deals;Đã kết nối (seed);Seed;DealsMarketplacePanel
api17;Deals;GET;/api/deals/exists;Đã kết nối (seed);Seed;DealDetailPanel
api18;Vendors;GET;/api/vendors;Đã kết nối (seed);Seed;VendorMarketplacePanel
api19;Vendor portal;GET/PUT;/api/vendor-portal/profile;Đã kết nối (seed);Seed / dev store;VendorProfilePanel
api20;Vendor portal;GET/PUT;/api/vendor-portal/requests;Đã kết nối (seed);Seed;VendorRequestsPanel
api21;Admin;GET;/api/admin/ops;Đã kết nối (seed);Seed ops;Admin panels
api22;Admin;GET;/api/admin/agent-crew;Đã kết nối (seed);Seed;AdminAgentCrewPanel
api23;Admin;GET/DELETE;/api/admin/agent-crew/[id];Đã kết nối (seed);Seed;AdminAgentCrewPanel
api24;Admin;POST;/api/admin/agent-crew/[id]/impersonate;Đã kết nối (seed);Seed;AdminAgentCrewPanel
api25;Admin;GET;/api/admin/lender-rates;Đã kết nối (seed);Seed;LenderConfig / Overview
api26;Admin;GET;/api/admin/lender-checklists;Đã kết nối (seed);Seed;LenderConfig / Overview
api27;Admin;GET;/api/admin/rentcast-usage;Đã kết nối (seed);Seed;AdminOverview
api28;Ops;GET;/api/health;Đã kết nối (live);Ops only — không UI dashboard;Smoke / health
—;Inbox / search;—;/api/inbox*, /api/messages*;Chưa kết nối;UI dùng INBOX_THREADS seed, không fetch;/dashboard/inbox
—;Team;—;/api/team*;Chưa kết nối;TEAM_MEMBERS seed, không fetch;/dashboard/team
—;Settings;—;/api/settings*;Chưa kết nối;Preview / localStorage, không fetch;/dashboard/settings/*
—;Settings / Billing;—;/api/billing*, /api/stripe/*;Chưa kết nối;"Billing preview; chưa adapter Stripe";settings billing
api29;projects;PATCH;/api/projects/[id]/acquisition;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsAcquisitionPatch";—
api30;projects;GET;/api/projects/[id]/capital-stack/export;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsCapitalStackExportGet";—
api31;projects;GET;/api/projects/[id]/commitments;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectCommitmentsGet";—
api32;projects;POST;/api/projects/[id]/commitments;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectCommitmentsPost";—
api33;projects;DELETE;/api/projects/[id]/commitments/[cId];Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectCommitmentDelete";—
api34;projects;PATCH;/api/projects/[id]/commitments/[cId];Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectCommitmentPatch";—
api35;projects;GET;/api/projects/[id]/dealUpdates;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectDealUpdatesGet";—
api36;projects;POST;/api/projects/[id]/dealUpdates;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectDealUpdatesPost";—
api37;projects;GET;/api/projects/[id]/documents;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsDocumentsGet";—
api38;projects;POST;/api/projects/[id]/documents;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsDocumentsPost";—
api39;projects;GET;/api/projects/[id]/documents/[docId]/download;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsDocumentDownloadGet";—
api40;projects;PATCH;/api/projects/[id]/exit;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsExitPatch";—
api41;projects;PATCH;/api/projects/[id]/hold;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsHoldPatch";—
api42;projects;POST;/api/projects/[id]/hold/auto-advance;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsHoldAutoAdvancePost";—
api43;projects;GET;/api/projects/[id]/hold/registry;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsHoldRegistryGet";—
api44;projects;PATCH;/api/projects/[id]/hold/registry;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsHoldRegistryPatch";—
api45;projects;PATCH;/api/projects/[id]/inquiries/[inquiryId];Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsInquiryPatch";—
api46;projects;GET;/api/projects/[id]/kpis/breakdown;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectKpisBreakdownGet";—
api47;projects;GET;/api/projects/[id]/kpis/impact-preview;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectKpisImpactPreviewGet";—
api48;projects;POST;/api/projects/[id]/kpis/recalculate;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectKpisRecalculatePost";—
api49;projects;GET;/api/projects/[id]/lender-package;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsLenderPackageGet";—
api50;projects;POST;/api/projects/[id]/lender-package;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsLenderPackagePost";—
api51;projects;DELETE;/api/projects/[id]/lender-package/[itemId];Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsLenderPackageItemDelete";—
api52;projects;PATCH;/api/projects/[id]/lender-package/[itemId];Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsLenderPackageItemPatch";—
api53;projects;POST;/api/projects/[id]/lender-package/debt-folder;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsLenderPackageDebtFolderPost";—
api54;projects;GET;/api/projects/[id]/loan-estimates;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsLoanEstimatesGet";—
api55;projects;POST;/api/projects/[id]/loan-estimates;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsLoanEstimatesPost";—
api56;projects;DELETE;/api/projects/[id]/loan-estimates/[estimateId];Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsLoanEstimateDelete";—
api57;projects;POST;/api/projects/[id]/loan-estimates/[estimateId]/choose;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsLoanEstimateChoosePost";—
api58;projects;GET;/api/projects/[id]/loans;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsLoansGet";—
api59;projects;POST;/api/projects/[id]/loans;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsLoansPost";—
api60;projects;POST;/api/projects/[id]/proof-of-funds;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectProofOfFundsPost";—
api61;projects;PATCH;/api/projects/[id]/purchase;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsPurchasePatch";—
api62;projects;GET;/api/projects/[id]/timeline;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectTimelineGet";—
api63;projects;GET;/api/projects/[id]/transactions;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectTransactionsGet";—
api64;projects;PATCH;/api/projects/[id]/visibility;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectVisibilityPatch";—
api65;projects;POST;/api/projects/create;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsCreatePost";—
